Time;win_cpu.mean;win_mem.mean;Labels
2020-04-02T17:08:05+02:00;0;304.197.632,00;350
2020-04-02T17:08:10+02:00;0;304.197.632,00;0
2020-04-02T17:08:15+02:00;0;304.390.144,00;0
2020-04-02T17:08:50+02:00;0;304.390.144,00;0
2020-04-02T17:08:55+02:00;0;306.429.952,00;0
2020-04-02T17:09:00+02:00;79.693,60;306.429.952,00;0
2020-04-02T17:09:05+02:00;79.693,60;312.143.872,00;0
2020-04-02T17:09:10+02:00;124.998,14;312.143.872,00;0
2020-04-02T17:09:15+02:00;124.998,14;356.069.376,00;0
2020-04-02T17:09:20+02:00;156.246,02;356.069.376,00;0
2020-04-02T17:09:25+02:00;156.246,02;361.525.248,00;0
2020-04-02T17:09:30+02:00;218.762,47;361.525.248,00;0
2020-04-02T17:09:35+02:00;218.762,47;368.336.896,00;0
2020-04-02T17:10:00+02:00;1.043.189,29;368.336.896,00;0
2020-04-02T17:10:05+02:00;1.043.189,29;369.217.536,00;0
2020-04-02T17:10:10+02:00;1.093.772,53;369.217.536,00;0
2020-04-02T17:10:15+02:00;1.093.772,53;369.741.824,00;0
2020-04-02T17:11:45+02:00;1.390.701,17;377.774.080,00;0
2020-04-02T17:12:10+02:00;1.406.240,46;377.774.080,00;0
2020-04-02T17:12:15+02:00;1.406.240,46;378.318.848,00;0
2020-04-02T17:12:20+02:00;1.406.280,76;378.318.848,00;0
2020-04-02T17:12:25+02:00;1.406.280,76;381.808.640,00;0
2020-04-02T17:12:30+02:00;1.406.358,00;381.808.640,00;0
2020-04-02T17:12:35+02:00;1.406.358,00;382.156.800,00;0
2020-04-02T17:12:40+02:00;1.406.420,11;382.156.800,00;0
2020-04-02T17:12:45+02:00;1.406.420,11;382.566.400,00;0
2020-04-02T17:13:00+02:00;1.552.085,04;382.566.400,00;0
2020-04-02T17:13:05+02:00;1.552.085,04;384.282.624,00;0
2020-04-02T17:13:20+02:00;1.553.757,67;384.282.624,00;0
2020-04-02T17:13:25+02:00;1.553.757,67;385.536.000,00;0
2020-04-02T17:13:30+02:00;1.562.234,88;385.536.000,00;0
2020-04-02T17:14:20+02:00;1.718.851,09;394.665.984,00;0
2020-04-02T17:14:25+02:00;1.718.851,09;395.329.536,00;0
2020-04-02T17:14:30+02:00;1.934.722,66;395.329.536,00;0
2020-04-02T17:14:35+02:00;1.934.722,66;406.163.456,00;0
2020-04-02T17:14:40+02:00;2.031.182,29;406.163.456,00;0
2020-04-02T17:14:45+02:00;2.031.182,29;412.938.240,00;0
2020-04-02T17:14:50+02:00;2.031.261,44;412.938.240,00;0
2020-04-02T17:14:55+02:00;2.031.261,44;413.532.160,00;0
2020-04-02T17:15:10+02:00;2.031.275,75;413.532.160,00;0
2020-04-02T17:15:15+02:00;2.031.275,75;419.938.304,00;0
2020-04-02T17:15:20+02:00;2.187.258,72;419.938.304,00;0
2020-04-02T17:15:25+02:00;2.187.258,72;420.839.424,00;0
2020-04-02T17:15:30+02:00;2.436.549,66;420.839.424,00;0
2020-04-02T17:16:05+02:00;2.658.374,79;430.112.768,00;0
2020-04-02T17:16:10+02:00;2.809.311,63;430.112.768,00;0
2020-04-02T17:16:15+02:00;2.809.311,63;433.782.784,00;0
2020-04-02T17:16:30+02:00;2.812.213,18;433.782.784,00;0
2020-04-02T17:16:35+02:00;2.812.213,18;443.842.560,00;0
2020-04-02T17:16:40+02:00;2.963.071,35;443.842.560,00;0
2020-04-02T17:16:45+02:00;2.963.071,35;477.110.272,00;0
2020-04-02T17:16:50+02:00;3.085.695,74;477.110.272,00;0
2020-04-02T17:16:55+02:00;3.085.695,74;477.704.192,00;0
2020-04-02T17:17:00+02:00;4.656.631,95;477.704.192,00;0
2020-04-02T17:17:05+02:00;4.656.631,95;581.402.624,00;0
2020-04-02T17:17:20+02:00;4.663.821,22;581.402.624,00;0
2020-04-02T17:17:25+02:00;4.663.821,22;586.887.168,00;0
2020-04-02T17:17:30+02:00;4.699.365,62;586.887.168,00;0
2020-04-02T17:17:35+02:00;4.699.365,62;587.030.528,00;0
2020-04-02T17:17:40+02:00;5.404.814,72;587.030.528,00;0
2020-04-02T17:17:45+02:00;5.404.814,72;588.505.088,00;0
2020-04-02T17:17:50+02:00;5.782.155,99;588.505.088,00;0
2020-04-02T17:17:55+02:00;5.782.155,99;709.152.768,00;0
2020-04-02T17:18:00+02:00;5.938.255,31;709.152.768,00;0
2020-04-02T17:18:05+02:00;5.938.255,31;724.692.992,00;0
2020-04-02T17:18:10+02:00;6.210.504,53;724.692.992,00;0
2020-04-02T17:18:15+02:00;6.210.504,53;839.852.032,00;0
2020-04-02T17:18:20+02:00;6.444.223,40;839.852.032,00;0
2020-04-02T17:18:25+02:00;6.444.223,40;846.102.528,00;0
2020-04-02T17:18:30+02:00;6.874.020,58;846.102.528,00;0
2020-04-02T17:18:35+02:00;6.874.020,58;850.108.416,00;0
2020-04-02T17:18:50+02:00;6.874.247,07;850.108.416,00;0
2020-04-02T17:18:55+02:00;6.874.247,07;852.922.368,00;0
2020-04-02T17:19:00+02:00;7.027.069,09;852.922.368,00;0
2020-04-02T17:19:05+02:00;7.027.069,09;853.098.496,00;0
2020-04-02T17:19:10+02:00;9.319.767,95;853.098.496,00;0
2020-04-02T17:19:15+02:00;9.319.767,95;854.847.488,00;0
2020-04-02T17:19:20+02:00;9.688.942,91;854.847.488,00;0
2020-04-02T17:19:25+02:00;9.688.942,91;854.859.776,00;0
2020-04-02T17:19:40+02:00;10.311.981,20;854.859.776,00;0
2020-04-02T17:20:10+02:00;10.934.996,60;856.014.848,00;0
2020-04-02T17:20:15+02:00;10.934.996,60;857.350.144,00;0
2020-04-02T17:20:30+02:00;10.935.513,97;857.350.144,00;0
2020-04-02T17:20:35+02:00;10.935.513,97;857.763.840,00;0
2020-04-02T17:20:40+02:00;10.935.698,75;857.763.840,00;0
2020-04-02T17:20:45+02:00;10.935.698,75;858.529.792,00;0
2020-04-02T17:20:50+02:00;10.936.239,96;858.529.792,00;0
2020-04-02T17:20:55+02:00;10.936.239,96;859.238.400,00;0
2020-04-02T17:21:00+02:00;10.936.532,02;859.238.400,00;0
2020-04-02T17:21:05+02:00;10.936.532,02;859.447.296,00;0
2020-04-02T17:21:30+02:00;10.936.704,87;859.447.296,00;0
2020-04-02T17:21:35+02:00;10.936.704,87;864.677.888,00;0
2020-04-02T17:21:40+02:00;10.937.036,28;864.677.888,00;0
2020-04-02T17:21:45+02:00;10.937.036,28;866.340.864,00;0
2020-04-02T17:21:50+02:00;10.937.223,43;866.340.864,00;0
2020-04-02T17:21:55+02:00;10.937.223,43;866.545.664,00;0
2020-04-02T17:22:00+02:00;10.937.323,57;866.545.664,00;0
2020-04-02T17:22:05+02:00;10.937.323,57;869.240.832,00;0
2020-04-02T17:23:25+02:00;10.938.303,47;870.068.224,00;0
2020-04-02T17:23:40+02:00;10.938.481,09;870.068.224,00;0
2020-04-02T17:23:45+02:00;10.938.481,09;870.203.392,00;0
2020-04-02T17:24:00+02:00;10.938.799,38;870.203.392,00;0
2020-04-02T17:24:05+02:00;10.938.799,38;870.477.824,00;0
2020-04-02T17:24:10+02:00;11.560.905,46;870.477.824,00;0
2020-04-02T17:24:15+02:00;11.560.905,46;871.919.616,00;0
2020-04-02T17:24:20+02:00;12.172.386,65;871.919.616,00;0
2020-04-02T17:24:25+02:00;12.172.386,65;873.054.208,00;0
2020-04-02T17:24:30+02:00;12.178.348,30;873.054.208,00;0
2020-04-02T17:24:35+02:00;12.178.348,30;873.193.472,00;0
2020-04-02T17:24:40+02:00;12.249.985,93;873.193.472,00;0
2020-04-02T17:24:45+02:00;12.249.985,93;873.455.616,00;0
2020-04-02T17:24:50+02:00;12.497.522,83;873.455.616,00;0
2020-04-02T17:24:55+02:00;12.497.522,83;873.910.272,00;0
2020-04-02T17:25:40+02:00;12.499.886,75;879.476.736,00;0
2020-04-02T17:25:45+02:00;12.499.886,75;879.620.096,00;0
2020-04-02T17:25:50+02:00;12.500.183,58;879.620.096,00;0
2020-04-02T17:25:55+02:00;12.500.183,58;880.734.208,00;0
2020-04-02T17:26:00+02:00;12.500.931,02;880.734.208,00;0
2020-04-02T17:26:05+02:00;12.500.931,02;880.869.376,00;0
2020-04-02T17:26:10+02:00;12.501.060,96;880.869.376,00;0
2020-04-02T17:26:15+02:00;12.501.060,96;882.565.120,00;0
2020-04-02T17:26:20+02:00;12.501.200,44;882.565.120,00;0
2020-04-02T17:26:25+02:00;12.501.200,44;883.023.872,00;0
2020-04-02T17:26:30+02:00;12.501.579,52;883.023.872,00;0
2020-04-02T17:26:35+02:00;12.501.579,52;883.920.896,00;0
2020-04-02T17:26:40+02:00;12.502.044,44;883.920.896,00;0
2020-04-02T17:26:45+02:00;12.502.044,44;884.957.184,00;0
2020-04-02T17:26:50+02:00;12.511.979,34;884.957.184,00;0
2020-04-02T17:26:55+02:00;12.511.979,34;886.325.248,00;0
2020-04-02T17:27:00+02:00;13.922.871,35;886.325.248,00;0
2020-04-02T17:27:05+02:00;13.922.871,35;889.540.608,00;0
2020-04-02T17:27:40+02:00;13.991.472,72;889.540.608,00;0
2020-04-02T17:27:45+02:00;13.991.472,72;889.839.616,00;0
2020-04-02T17:27:50+02:00;14.053.345,92;889.839.616,00;0
2020-04-02T17:27:55+02:00;14.053.345,92;893.947.904,00;0
2020-04-02T17:28:40+02:00;14.061.342,48;898.592.768,00;0
2020-04-02T17:28:45+02:00;14.061.342,48;899.035.136,00;0
2020-04-02T17:28:50+02:00;14.062.392,71;899.035.136,00;0
2020-04-02T17:28:55+02:00;14.062.392,71;900.493.312,00;0
2020-04-02T17:29:10+02:00;14.063.624,14;900.493.312,00;0
2020-04-02T17:29:15+02:00;14.063.624,14;900.628.480,00;0
2020-04-02T17:30:10+02:00;14.063.737,39;900.628.480,00;0
2020-04-02T17:30:15+02:00;14.063.737,39;901.165.056,00;0
2020-04-02T17:30:20+02:00;14.063.907,86;901.165.056,00;0
2020-04-02T17:30:25+02:00;14.063.907,86;904.028.160,00;0
2020-04-02T17:33:20+02:00;14.064.793,59;904.028.160,00;0
2020-04-02T17:33:25+02:00;14.064.793,59;910.286.848,00;0
2020-04-02T17:33:40+02:00;14.065.136,91;910.286.848,00;0
2020-04-02T17:33:45+02:00;14.065.136,91;916.692.992,00;0
2020-04-02T17:36:50+02:00;15.445.544,72;916.692.992,00;0
2020-04-02T17:36:55+02:00;15.445.544,72;920.870.912,00;0
2020-04-02T17:43:40+02:00;15.524.758,10;920.870.912,00;0
2020-04-02T17:43:45+02:00;15.524.758,10;922.861.568,00;0
2020-04-02T17:43:50+02:00;15.526.248,22;922.861.568,00;0
2020-04-02T17:43:55+02:00;15.526.248,22;927.928.320,00;0
2020-04-02T17:44:20+02:00;15.534.042,12;927.928.320,00;0
2020-04-02T17:44:25+02:00;15.534.042,12;928.440.320,00;0
2020-04-02T17:46:55+02:00;15.561.013,22;932.597.760,00;0
2020-04-02T17:49:50+02:00;15.569.078,92;932.597.760,00;0
2020-04-02T17:49:55+02:00;15.569.078,92;935.026.688,00;0
2020-04-02T17:51:30+02:00;15.576.061,01;935.026.688,00;0
2020-04-02T17:51:35+02:00;15.576.061,01;936.206.336,00;0
2020-04-02T17:54:30+02:00;15.576.786,99;936.206.336,00;0
2020-04-02T17:54:35+02:00;15.576.786,99;936.415.232,00;0
2020-04-02T17:57:20+02:00;15.626.254,08;936.415.232,00;0
2020-04-02T17:57:25+02:00;15.626.254,08;943.005.696,00;0
2020-04-02T17:57:30+02:00;15.626.803,64;943.689.728,00;0
2020-04-02T17:57:35+02:00;15.626.803,64;943.689.728,00;0
2020-04-02T17:59:20+02:00;15.650.684,83;943.996.928,00;0
2020-04-02T17:59:25+02:00;15.650.684,83;943.996.928,00;0
2020-04-02T18:01:50+02:00;15.650.873,18;948.002.816,00;0
2020-04-02T18:01:55+02:00;15.650.873,18;948.002.816,00;0
2020-04-02T18:02:40+02:00;15.659.339,43;951.169.024,00;0
2020-04-02T18:02:45+02:00;15.659.339,43;951.169.024,00;950
