win_mem(GB);win_cpu(%);Labels
2,173124608;86,03701782;-1
1,928351744;63;1
1,970843648;57,80453873;1
1,957163008;78,31330109;1
2,239967232;86,23487854;-1
2,249592832;89,78178406;-1
2,24495616;91,43080902;-1
2,23537152;0;1
2,232225792;91,13185883;-1
2,232971264;96,46550751;-1
2,233491456;96,63296509;-1
2,226929664;83,88252258;-1
2,263793664;95,76954651;-1
2,269929472;91,47415924;-1
2,271977472;97,4070282;-1
2,274820096;84,53167725;-1
2,279071744;95,43093872;-1
2,30653952;96,13063049;-1
2,306695168;96,96121979;-1
2,306650112;74,8653717;1
2,302869504;75,45747375;1
2,277257216;78,21515656;1
2,219442176;59,82013702;1
2,213691392;85,78790283;-1
2,213236736;96,73553467;-1
2,518880256;86,51341248;-1
2,52565504;96,79220581;-1
2,52553216;96,42662048;-1
2,548912128;93,38116455;-1
2,561564672;89,92271423;-1
2,552029184;87,82876587;-1
2,471620608;68,77507782;1
2,256646144;70,7253952;1
2,276978688;77,70600891;1
2,245189632;85,02270508;-1
2,317615104;85,21140289;-1
2,268639232;83,68909454;-1
2,235334656;79,71170807;1
2,222657536;81,05929565;1
2,231218176;72,36545563;1
2,221719552;54,25026321;1
2,2413312;71,26763916;1
2,243182592;93,95373535;-1
2,243641344;94,46497345;-1
2,28499456;97,57221222;-1
2,286170112;88,07365417;-1
2,291761152;97,0092392;-1
2,290921472;91,21276855;-1
2,291388416;97,39144897;-1
2,296958976;97,69593811;-1
2,295844864;72,51446533;1
2,295095296;75,58075714;1
2,299367424;88,64063263;-1
2,348978176;94,35496521;-1
2,3487488;97,29869843;-1
2,48264704;95,0111618;-1
2,483544064;96,42838287;-1
2,482638848;97,17418671;-1
2,483810304;95,97389221;-1
2,479190016;97,25984192;-1
2,479783936;96,67832947;-1
2,479628288;89,44563293;-1
2,51916288;97,18249512;-1
2,520113152;87,36972046;-1
2,44504576;88,48332977;-1
2,333958144;75,96269226;1
2,337886208;52,10862732;1
2,307162112;77,50679016;1
2,317369344;79,44869232;1
2,331774976;70,79927063;1
2,277265408;65,87950897;1
2,2984704;71,69192505;1
2,323447808;72,29827881;1
2,328313856;45,71849442;1
2,32839168;68,72210693;1
2,470694912;77,74288177;1
2,50087424;80,43656158;1
2,51490304;87,97748566;-1
2,517434368;81,37011719;1
2,539225088;81,80318451;1
2,549137408;71,29178619;1
2,552373248;70,17346954;1
2,540675072;86,54792023;-1
2,549055488;65,92788696;1
